source_ISO,target_ISO,value
AZE,USA,412
BWA,RUS,10
LUX,FRA,692
ERI,ETH,19
BWA,GBR,107
UZB,USA,315
TGO,CHE,4
BLR,CHN,482
EST,IND,126
BOL,USA,609
EST,CHE,310
GIN,USA,113
TTO,USA,458
NCL,FRA,263
LTU,IND,93
MDA,TUR,218
PRY,IDN,30
ARM,IND,726
GTM,PRT,45
MOZ,USA,442
BLR,RUS,1643
MKD,HRV,38
PYF,FRA,204
KWT,TUR,189
MAC,PRT,59
OMN,USA,580
GNB,BRA,122
VEN,ESP,1177
UZB,POL,73
MLT,GBR,390
JAM,CHE,19
PYF,HUN,1
DOM,ESP,127
EST,FIN,231
AZE,RUS,388
MDA,DEU,66
PRK,CHN,67
ALB,CHN,94
RWA,ZWE,4
PNG,ESP,9
VGB,USA,454
OMN,ITA,52
PRY,MEX,294
GEO,AUS,31
ANZ,CZE,63
VEN,PER,346
BTN,LKA,9
ANZ,BEL,30
AFG,GBR,68
MRT,FRA,28
BRN,VNM,9
NER,COG,3
REU,MDG,17
ARM,JPN,168
BRN,SGP,20
MLT,BRA,29
PRY,POL,8
KGZ,PAK,24
STP,AUS,4
ISL,HUN,10
EST,BEL,96
BFA,IND,41
ARM,ECU,11
GTM,AUS,30
MNE,DEU,47
BEN,FRA,443
UZB,SWE,36
ANZ,RUS,388
MAC,CYP,4
OMN,MAR,6
MWI,DEU,52
MAC,GBR,448
SWZ,ZAI,59
FJI,IDN,63
LIE,JPN,101
KWT,USA,924
NIC,CHN,28
VGB,FRA,43
BOH,PER,104
PRY,PER,120
DOM,CAN,28
OMN,CHL,4
ALB,HUN,19
BOL,ITA,53
VEN,ITA,123
CYM,GRD,4
GTM,FRA,50
COD,CHE,73
AFG,PAK,98
ATG,MEX,7
LUX,GBR,320
LTU,CZE,191
KWT,IDN,227
OMN,IRN,93
PSE,SWE,18
XKS,ESP,23
NIC,FRA,28
COD,BEL,198
GTM,CHL,87
EST,BRA,88
PAN,MEX,252
PSE,CHN,87
MCO,AUT,4
LTU,ITA,151
MLT,USA,307
NAM,DEU,83
ARM,NOR,153
XKS,MEX,1
KGZ,ESP,7
BLR,ITA,243
MAC,IDN,8
MOZ,IDN,32
CUW,NPL,15
BHR,ZWE,7
AZE,TWN,23
XKS,CZE,27
MLI,NER,29
BEN,TZA,8
LTU,PRT,44
UZB,JPN,72
ISL,CHN,96
EST,POL,89
ARM,KOR,192
MKD,PHL,6
OMN,IDN,59
COD,MAR,13
RWA,ETH,36
MDA,SDN,1
BEN,BRA,38
MUS,IND,86
TJK,USA,346
GTM,URY,8
BHR,RUS,31
AZE,HUN,24
TCD,CIV,5
OMN,CAN,182
PAN,GBR,364
NAM,CHE,32
TJK,DEU,107
MUS,CHN,22
BWA,ZAF,155
ANZ,FIN,10
FJI,AUS,105
AZE,CAN,152
MMR,VNM,53
GAB,FRA,93
KNA,PRI,3
BOH,VEN,235
ARM,CHE,653
PSE,BEL,16
BOH,PRY,6
LUX,ESP,164
ERI,CHN,14
EST,ZAF,19
STP,POL,2
BFA,GBR,97
BLR,PAK,19
MDA,MOZ,49
GRD,ITA,12
GEO,UKR,78
CIV,IND,42
OMN,AUS,92
VIR,CAN,14
BIH,ESP,29
BHR,HND,1
BWA,FRA,21
BWA,USA,317
FJI,ITA,10
RWA,ZAI,60
BFA,JPN,23
PYF,NZL,6
MKD,VNM,36
PYF,USA,44
SLV,GBR,25
EST,CHN,197
BOH,CHN,19
AZE,MYS,42
PYF,BEL,13
CUW,VEN,2
MDG,BEL,23
BDI,ITA,52
CUW,QAT,6
GLP,GUF,28
VGB,DEU,53
NIC,RWA,3
ATG,IRQ,5
SLE,USA,177
BFA,SWE,22
TJK,CAN,35
GLP,BFA,1
GIN,NGA,10
LTU,SWE,92
LUX,HKG,28
LUX,ECU,7
AGO,CHL,21
UZB,KOR,62
CIV,LBN,3
VEN,PAN,83
MKD,PAK,24
LBY,IRN,13
LBY,PAK,41
SWZ,IND,3
TTO,FRA,13
PRY,NPL,1
VGB,ECU,9
MDG,BDI,4
RWA,ARE,8
MKD,AUT,177
ALB,DNK,10
VIR,USA,213
BLR,SWE,41
TGO,GBR,23
ISL,DNK,136
ANZ,GEO,11
BRN,PAK,47
LUX,GRC,57
BEN,MDG,4
BWA,BGR,3
BWA,UGA,17
VEN,GTM,27
BEN,DZA,15
MLT,SAU,42
GEO,DEU,109
AFG,CAN,36
BLR,IRQ,11
ATG,SWE,7
BIH,CHN,41
SLV,CUB,28
GUY,CAN,14
GTM,CRI,28
PNG,ZAF,30
UZB,MNG,2
MWI,AUS,68
BRB,ZAF,8
ERI,NPL,3
BRB,DEU,10
NAM,ZWE,15
GEO,ITA,56
REU,BEL,19
LAO,THA,35
PYF,CAN,8
CYM,SGP,29
KGZ,MYS,8
NER,CIV,10
PRY,CAN,36
DOM,BEL,12
TCA,CMR,3
GLP,MTQ,43
MSR,IRL,1
MSR,BRA,2
MNE,CHE,15
BEN,CHN,45
REU,ITA,6
GAB,COG,12
PRY,BEL,19
AGO,IDN,5
BHS,NLD,10
TJK,NIC,9
MMR,IND,180
ANZ,JPN,66
KGZ,KHM,27
MWI,HKG,15
FJI,CHN,130
DOM,FRA,30
BRB,ABW,1
ALB,SVN,9
BHR,YEM,5
LUX,ZMB,1
BWA,SWE,12
DOM,AUS,18
MLI,MDG,8
KWT,CHN,89
BWA,PAK,7
ANZ,CHL,6
BIH,SWE,57
CIV,NZL,4
MLT,CAN,44
ISL,RHO,10
BHR,NZL,14
MAC,CZE,38
PRY,FRA,67
VGB,KWT,16
MNE,URY,5
HND,ESP,124
NIC,LKA,2
SUR,USA,41
BEN,TUN,28
TJK,ISR,30
EST,LTU,62
GEO,BLR,30
JAM,NLD,25
LUX,MAR,20
