source_ISO,target_ISO,year,value
HKG,ARE,2006,2
HKG,ARE,2007,2
HKG,ARE,2008,3
HKG,ARE,2009,2
HKG,ARE,2010,1
HKG,ARE,2014,1
HKG,ARE,2015,1
HKG,ARE,2016,3
HKG,ARE,2017,2
HKG,ARE,2018,2
HKG,ARE,2019,1
HKG,ARE,2020,1
HKG,ARM,2002,1
HKG,ARM,2003,1
HKG,ARG,2015,1
HKG,ARG,2017,1
HKG,AUT,1997,1
HKG,AUT,2004,1
HKG,AUT,2007,1
HKG,AUT,2009,1
HKG,AUT,2011,1
HKG,AUT,2013,2
HKG,AUT,2014,2
HKG,AUT,2015,5
HKG,AUT,2016,3
HKG,AUT,2017,2
HKG,AUT,2018,3
HKG,AUT,2019,3
HKG,AUT,2020,5
HKG,AUS,1994,2
HKG,AUS,1995,6
HKG,AUS,1996,12
HKG,AUS,1997,7
HKG,AUS,1998,16
HKG,AUS,1999,8
HKG,AUS,2000,25
HKG,AUS,2001,24
HKG,AUS,2002,31
HKG,AUS,2003,53
HKG,AUS,2004,52
HKG,AUS,2005,59
HKG,AUS,2006,65
HKG,AUS,2007,80
HKG,AUS,2008,86
HKG,AUS,2009,76
HKG,AUS,2010,71
HKG,AUS,2011,77
HKG,AUS,2012,92
HKG,AUS,2013,112
HKG,AUS,2014,109
HKG,AUS,2015,114
HKG,AUS,2016,129
HKG,AUS,2017,112
HKG,AUS,2018,116
HKG,AUS,2019,116
HKG,AUS,2020,70
HKG,BIH,2015,3
HKG,BIH,2016,1
HKG,BIH,2017,1
HKG,BIH,2020,1
HKG,BGD,2007,2
HKG,BGD,2008,2
HKG,BGD,2009,3
HKG,BGD,2010,2
HKG,BGD,2011,1
HKG,BGD,2014,1
HKG,BGD,2015,1
HKG,BGD,2016,1
HKG,BGD,2017,1
HKG,BGD,2018,2
HKG,BGD,2019,4
HKG,BGD,2020,2
HKG,BEL,1997,1
HKG,BEL,1999,1
HKG,BEL,2001,2
HKG,BEL,2002,1
HKG,BEL,2003,1
HKG,BEL,2004,1
HKG,BEL,2005,1
HKG,BEL,2006,2
HKG,BEL,2007,1
HKG,BEL,2008,1
HKG,BEL,2009,1
HKG,BEL,2010,1
HKG,BEL,2011,1
HKG,BEL,2012,2
HKG,BEL,2013,2
HKG,BEL,2014,2
HKG,BEL,2015,1
HKG,BEL,2016,3
HKG,BEL,2017,1
HKG,BEL,2018,5
HKG,BEL,2019,7
HKG,BEL,2020,1
HKG,BGR,2005,1
HKG,BGR,2006,1
HKG,BGR,2007,1
HKG,BGR,2008,1
HKG,BGR,2009,1
HKG,BGR,2013,1
HKG,BGR,2016,1
HKG,BGR,2018,1
HKG,BGR,2019,1
HKG,BDI,2009,1
HKG,BDI,2010,2
HKG,BDI,2011,1
HKG,BDI,2014,1
HKG,BDI,2015,3
HKG,BDI,2018,2
HKG,BDI,2019,3
HKG,BRN,2002,1
HKG,BRN,2015,2
HKG,BRA,1999,1
HKG,BRA,2000,1
HKG,BRA,2001,1
HKG,BRA,2002,1
HKG,BRA,2006,2
HKG,BRA,2008,1
HKG,BRA,2009,2
HKG,BRA,2010,1
HKG,BRA,2011,1
HKG,BRA,2012,1
HKG,BRA,2015,1
HKG,BRA,2016,10
HKG,BRA,2017,9
HKG,BRA,2018,14
HKG,BRA,2019,21
HKG,BRA,2020,19
HKG,BLR,2009,1
HKG,BLR,2010,1
HKG,CAN,1994,7
HKG,CAN,1995,5
HKG,CAN,1996,9
HKG,CAN,1997,15
HKG,CAN,1998,20
HKG,CAN,1999,20
HKG,CAN,2000,21
HKG,CAN,2001,27
HKG,CAN,2002,29
HKG,CAN,2003,26
HKG,CAN,2004,25
HKG,CAN,2005,34
HKG,CAN,2006,35
HKG,CAN,2007,45
HKG,CAN,2008,41
HKG,CAN,2009,59
HKG,CAN,2010,57
HKG,CAN,2011,44
HKG,CAN,2012,55
HKG,CAN,2013,45
HKG,CAN,2014,61
HKG,CAN,2015,59
HKG,CAN,2016,69
HKG,CAN,2017,47
HKG,CAN,2018,62
HKG,CAN,2019,68
HKG,CAN,2020,42
HKG,CHE,1997,1
HKG,CHE,1998,1
HKG,CHE,1999,1
HKG,CHE,2000,1
HKG,CHE,2001,2
HKG,CHE,2003,3
HKG,CHE,2004,1
HKG,CHE,2005,6
HKG,CHE,2006,2
HKG,CHE,2007,9
HKG,CHE,2008,7
HKG,CHE,2009,11
HKG,CHE,2010,10
HKG,CHE,2011,9
HKG,CHE,2012,9
HKG,CHE,2013,10
HKG,CHE,2014,10
HKG,CHE,2015,16
HKG,CHE,2016,16
HKG,CHE,2017,8
HKG,CHE,2018,23
HKG,CHE,2019,27
HKG,CHE,2020,19
HKG,CHL,2009,1
HKG,CHL,2017,1
HKG,CHL,2019,1
HKG,CHN,1994,7
HKG,CHN,1995,6
HKG,CHN,1996,12
HKG,CHN,1997,21
HKG,CHN,1998,47
HKG,CHN,1999,64
HKG,CHN,2000,109
HKG,CHN,2001,176
HKG,CHN,2002,203
HKG,CHN,2003,255
HKG,CHN,2004,329
HKG,CHN,2005,427
HKG,CHN,2006,493
HKG,CHN,2007,566
HKG,CHN,2008,591
HKG,CHN,2009,707
HKG,CHN,2010,841
HKG,CHN,2011,911
HKG,CHN,2012,1036
HKG,CHN,2013,1171
HKG,CHN,2014,1261
HKG,CHN,2015,1463
HKG,CHN,2016,1539
HKG,CHN,2017,1619
HKG,CHN,2018,1684
HKG,CHN,2019,1751
HKG,CHN,2020,1357
HKG,CHN,2021,3
HKG,COL,2018,1
HKG,CYP,2004,1
HKG,CZE,2008,2
HKG,CZE,2014,1
HKG,CZE,2017,1
HKG,CZE,2018,2
HKG,CZE,2019,2
HKG,DEU,1994,2
HKG,DEU,1995,2
HKG,DEU,1996,3
HKG,DEU,1997,4
HKG,DEU,1998,2
HKG,DEU,1999,4
HKG,DEU,2000,3
HKG,DEU,2001,6
HKG,DEU,2002,4
HKG,DEU,2003,4
HKG,DEU,2004,4
