source_ISO,target_ISO,value
AFG,HKG,7
ALB,HKG,1
ARE,HKG,2
ARG,HKG,7
ARM,HKG,16
AUS,HKG,56
AUT,HKG,15
AZE,HKG,7
BDI,HKG,2
BEL,HKG,9
BEN,HKG,2
BGD,HKG,604
BGR,HKG,8
BIH,HKG,4
BLR,HKG,7
BLZ,HKG,1
BRA,HKG,68
BRN,HKG,20
BTN,HKG,8
CAN,HKG,133
CHE,HKG,11
CHL,HKG,11
CHN,HKG,142556
CMR,HKG,3
COD,HKG,5
COL,HKG,11
CRI,HKG,4
CYP,HKG,2
CZE,HKG,16
DEU,HKG,150
DNK,HKG,21
DOM,HKG,2
DZA,HKG,1
ECU,HKG,12
EGY,HKG,91
ESP,HKG,42
EST,HKG,6
ETH,HKG,102
FIN,HKG,3
FJI,HKG,3
FRA,HKG,238
GBR,HKG,176
GEO,HKG,2
GHA,HKG,211
GIN,HKG,1
GMB,HKG,7
GRC,HKG,25
GTM,HKG,2
HKG,AUS,17222
HKG,BEL,62
HKG,BGR,1
HKG,BHR,3
HKG,BRA,32
HKG,BTN,1
HKG,CAN,4920
HKG,CHE,233
HKG,CHN,3
HKG,CYP,11
HKG,CZE,29
HKG,DEU,736
HKG,EST,25
HKG,FIN,21
HKG,GBR,33943
HKG,HUN,12
HKG,IND,25
HKG,IRL,232
HKG,ISL,5
HKG,ITA,83
HKG,KOR,840
HKG,LKA,11
HKG,LTU,22
HKG,LUX,2
HKG,MAC,1486
HKG,MLT,11
HKG,MNG,1
HKG,MYS,230
HKG,NIC,2
HKG,NOR,48
HKG,POL,36
HKG,PRT,9
HKG,QAT,10
HKG,ROU,20
HKG,RUS,15
HKG,SAU,6
HKG,SVK,1
HKG,SVN,7
HKG,SWE,9.69661
HKG,THA,23
HKG,TTO,2
HKG,USA,5815.28241
HKG,VNM,6
HKG,ZAF,1
HRV,HKG,11
HUN,HKG,5
IDN,HKG,2008
IND,HKG,1888
IRL,HKG,18
IRN,HKG,146
ISR,HKG,5
ITA,HKG,137
JAM,HKG,12
JOR,HKG,12
JPN,HKG,105
KAZ,HKG,814
KEN,HKG,27
KGZ,HKG,260
KHM,HKG,27
KNA,HKG,5
KOR,HKG,4440
KWT,HKG,1
LAO,HKG,1
LBN,HKG,8
LBR,HKG,3
LCA,HKG,1
LKA,HKG,167
LTU,HKG,10
LVA,HKG,10
MAC,HKG,698
MAR,HKG,9
MDV,HKG,6
MEX,HKG,44
MKD,HKG,3
MLT,HKG,3
MMR,HKG,147
MNE,HKG,5
MNG,HKG,17
MOZ,HKG,2
MUS,HKG,21
MWI,HKG,5
MYS,HKG,1074
NGA,HKG,200
NIC,HKG,3
NLD,HKG,49
NOR,HKG,14
NPL,HKG,113
NZL,HKG,38
PAK,HKG,795
PAN,HKG,4
PER,HKG,4
PHL,HKG,391
POL,HKG,39
PRT,HKG,28
PSE,HKG,8
ROU,HKG,11
RUS,HKG,184
RWA,HKG,15
SAU,HKG,6
SGP,HKG,123
SLV,HKG,6
SRB,HKG,52
SVK,HKG,13
SVN,HKG,1
SWE,HKG,26
SYC,HKG,6
SYR,HKG,13
TGO,HKG,1
THA,HKG,393
TJK,HKG,27
TKM,HKG,12
TTO,HKG,1
TUN,HKG,13
TUR,HKG,71
TZA,HKG,13
UGA,HKG,20
UKR,HKG,16
USA,HKG,349
UZB,HKG,3
VEN,HKG,15
VNM,HKG,286
VUT,HKG,6
YEM,HKG,1
ZAF,HKG,61
ZMB,HKG,16
ZWE,HKG,17
