source_ISO,target_ISO,value
ARE,SBA,2
ARM,SBA,3
ARG,SBA,17
AUT,SBA,49
AUS,SBA,298
AZE,SBA,1
BIH,SBA,6
BGD,SBA,8
BEL,SBA,53
BDI,SBA,22
BRA,SBA,207
BWA,SBA,1
BLR,SBA,2
CAN,SBA,459
CHE,SBA,324
CHL,SBA,13
CMR,SBA,1
CHN,SBA,1495
COL,SBA,1
CRI,SBA,1
CZE,SBA,13
DEU,SBA,536
DNK,SBA,111
ECU,SBA,3
EST,SBA,7
EGY,SBA,16
ESP,SBA,120
ETH,SBA,1
FIN,SBA,27
FRA,SBA,214
GBR,SBA,921
GEO,SBA,4
GHA,SBA,1
GRC,SBA,29
HKG,SBA,79
HRV,SBA,3
HUN,SBA,15
IDN,SBA,9
IRL,SBA,44
ISR,SBA,210
IND,SBA,188
IRN,SBA,33
ISL,SBA,2
ITA,SBA,163
JAM,SBA,1
JOR,SBA,4
JPN,SBA,280
KEN,SBA,13
KHM,SBA,1
KOR,SBA,253
KAZ,SBA,7
LBN,SBA,4
LUX,SBA,5
LVA,SBA,2
MAR,SBA,90
MKD,SBA,1
MLI,SBA,1
MLT,SBA,4
MEX,SBA,54
MYS,SBA,11
NAM,SBA,2
NGA,SBA,2
NLD,SBA,156
NOR,SBA,34
NPL,SBA,6
NZL,SBA,36
PAN,SBA,7
PER,SBA,7
PHL,SBA,2
PAK,SBA,11
POL,SBA,110
PSE,SBA,2
PRT,SBA,65
QAT,SBA,1
ROU,SBA,2
SRB,SBA,12
RUS,SBA,64
SAU,SBA,38
SWE,SBA,123
SGP,SBA,99
SVN,SBA,12
SVK,SBA,1
THA,SBA,22
TJK,SBA,7
TUN,SBA,1
TUR,SBA,37
TWN,SBA,71
TZA,SBA,4
UKR,SBA,3
UGA,SBA,25
VEN,SBA,1
VNM,SBA,7
ZAF,SBA,70
ZMB,SBA,1
ZWE,SBA,8
SBA,ARE,6
SBA,ATG,1
SBA,ARM,3
SBA,ARG,14
SBA,AUT,50
SBA,AUS,324
SBA,AZE,2
SBA,BIH,5
SBA,BGD,5
SBA,BEL,51
SBA,BGR,3
SBA,BDI,8
SBA,BRA,236
SBA,BLR,1
SBA,CAN,394
SBA,CHE,288
SBA,CHL,9
SBA,CMR,1
SBA,CHN,1543
SBA,COL,3
SBA,CRI,1
SBA,CYP,1
SBA,CZE,12
SBA,DEU,540
SBA,DNK,112
SBA,ECU,6
SBA,EST,4
SBA,EGY,17
SBA,ESP,103
SBA,FIN,31
SBA,FJI,1
SBA,FRA,180
SBA,GBR,929
SBA,GRD,1
SBA,GEO,8
SBA,GHA,3
SBA,GRC,23
SBA,HKG,81
SBA,HRV,4
SBA,HUN,12
SBA,IDN,7
SBA,IRL,40
SBA,ISR,171
SBA,IND,133
SBA,IRN,24
SBA,ISL,3
SBA,ITA,167
SBA,JAM,2
SBA,JOR,7
SBA,JPN,266
SBA,KEN,10
SBA,KHM,1
SBA,KOR,250
SBA,KAZ,6
SBA,LBN,1
SBA,LKA,1
SBA,LUX,7
SBA,LVA,1
SBA,MAR,69
SBA,MKD,1
SBA,MLT,3
SBA,MWI,1
SBA,MEX,54
SBA,MYS,8
SBA,NAM,4
SBA,NGA,1
SBA,NLD,151
SBA,NOR,48
SBA,NPL,3
SBA,NZL,29
SBA,OMN,1
SBA,PAN,9
SBA,PER,6
SBA,PHL,1
SBA,PAK,8
SBA,POL,104
SBA,PSE,2
SBA,PRT,137
SBA,PRY,1
SBA,QAT,1
SBA,ROU,3
SBA,SRB,7
SBA,RUS,49
SBA,SAU,33
SBA,SWE,123
SBA,SGP,104
SBA,SVN,8
SBA,SVK,4
SBA,THA,26
SBA,TJK,5
SBA,TUR,48
SBA,TWN,59
SBA,TZA,3
SBA,UKR,3
SBA,UGA,26
SBA,USA,1
SBA,URY,1
SBA,VEN,2
SBA,VNM,2
SBA,ZAF,70
SBA,ZMB,3
SBA,ZWE,8
