source_ISO,target_ISO,value
AZE,ANZ,218
SAU,ARE,24
USA,ARE,53
CHN,ARE,34
PAK,ARE,38
JOR,ARE,22
IND,ARE,68
EGY,ARE,22
GBR,ARE,56
BRA,ARG,104
ECU,ARG,68
COL,ARG,118
PER,ARG,74
VEN,ARG,26
CHL,ARG,69
MEX,ARG,36
ESP,ARG,120
USA,ARG,42
VNM,AUS,71
SWE,AUS,27
BGD,AUS,109
NPL,AUS,29
COL,AUS,35
LKA,AUS,88
ZAI,AUS,25
CHL,AUS,26
GBR,AUS,405
PHL,AUS,27
FRA,AUS,66
CHN,AUS,446
DNK,AUS,35
BRA,AUS,111
CHE,AUS,51
KOR,AUS,41
ZAF,AUS,25
NLD,AUS,51
SCG,AUS,77
HKG,AUS,35
USA,AUS,330
IND,AUS,238
GHA,AUS,22
ESP,AUS,36
NZL,AUS,97
MYS,AUS,34
DEU,AUS,105
IRL,AUS,22
SGP,AUS,77
TWN,AUS,27
JPN,AUS,55
IDN,AUS,98
PAK,AUS,76
NGA,AUS,23
IRN,AUS,99
ITA,AUS,29
CAN,AUS,101
RUS,AUT,22
DEU,AUT,377
TUR,AUT,29
IND,AUT,26
GBR,AUT,135
ITA,AUT,119
IRN,AUT,28
FRA,AUT,64
SWE,AUT,35
PRT,AUT,24
CHE,AUT,69
POL,AUT,27
CZE,AUT,31
HUN,AUT,29
ESP,AUT,74
USA,AUT,137
NLD,AUT,58
CHN,AUT,29
BRA,AUT,37
ANZ,AZE,218
IRN,BEL,24
FRA,BEL,206
POL,BEL,30
CAN,BEL,24
CHN,BEL,46
IND,BEL,30
USA,BEL,77
NLD,BEL,136
ESP,BEL,112
ITA,BEL,109
TUR,BEL,33
GBR,BEL,135
SWE,BEL,23
BRA,BEL,44
DEU,BEL,100
PRT,BEL,52
CHE,BEL,36
AUS,BGD,37
GBR,BGD,59
USA,BGD,46
JPN,BGD,32
CHN,BGD,52
MYS,BGD,22
IND,BGD,26
BOL,BOH,354
BOH,BOL,354
COL,BRA,276
VEN,BRA,42
FRA,BRA,224
PRT,BRA,401
USA,BRA,561
CAN,BRA,98
PER,BRA,139
ITA,BRA,67
MEX,BRA,42
ARG,BRA,96
SWE,BRA,25
NLD,BRA,51
MOZ,BRA,65
GBR,BRA,231
IRL,BRA,23
CHE,BRA,36
PRY,BRA,26
ECU,BRA,57
DEU,BRA,163
ESP,BRA,241
CHL,BRA,56
AUS,BRA,36
IRN,CAN,309
PAK,CAN,51
FRA,CAN,244
ISR,CAN,22
CHL,CAN,42
POL,CAN,22
ARE,CAN,27
IND,CAN,270
LBN,CAN,27
LKA,CAN,30
ZAI,CAN,28
DEU,CAN,164
GHA,CAN,37
UAR,CAN,25
CHN,CAN,404
CHE,CAN,89
EGY,CAN,41
NZL,CAN,26
COL,CAN,90
BGD,CAN,110
SCG,CAN,37
NGA,CAN,56
PRT,CAN,26
SWE,CAN,37
USA,CAN,904
AUS,CAN,89
AUT,CAN,22
MEX,CAN,76
UKR,CAN,25
GBR,CAN,339
KOR,CAN,48
ZAF,CAN,28
JPN,CAN,70
HKG,CAN,27
BRA,CAN,330
DNK,CAN,22
ESP,CAN,79
ARG,CAN,24
IRL,CAN,29
SGP,CAN,37
SAU,CAN,25
ITA,CAN,65
NLD,CAN,68
TUR,CAN,62
SGP,CHE,26
KOR,CHE,29
NOR,CHE,23
AUS,CHE,64
BRA,CHE,85
GBR,CHE,456
DNK,CHE,28
GRC,CHE,31
NLD,CHE,159
IND,CHE,96
SWE,CHE,65
CAN,CHE,107
IRN,CHE,44
BEL,CHE,43
ITA,CHE,255
FIN,CHE,33
SCG,CHE,26
RUS,CHE,33
FRA,CHE,358
POL,CHE,32
USA,CHE,448
CHN,CHE,219
ESP,CHE,168
DEU,CHE,554
ZAI,CHE,23
AUT,CHE,82
CZE,CHE,25
TUR,CHE,67
PRT,CHE,36
JPN,CHE,46
ZAF,CHE,23
FRA,CHL,37
ESP,CHL,215
COL,CHL,98
USA,CHL,100
PER,CHL,74
GBR,CHL,89
ECU,CHL,56
BRA,CHL,84
VEN,CHL,59
MEX,CHL,40
ARG,CHL,70
DEU,CHL,41
TWN,CHN,61
RUS,CHN,50
HKG,CHN,240
KOR,CHN,74
ESP,CHN,50
DEU,CHN,199
IRL,CHN,26
CAN,CHN,149
DNK,CHN,29
PAK,CHN,471
IRN,CHN,33
ETH,CHN,27
NGA,CHN,57
CHE,CHN,45
JPN,CHN,154
GHA,CHN,91
THA,CHN,22
GBR,CHN,630
SGP,CHN,140
TZA,CHN,33
ITA,CHN,49
SWE,CHN,37
NZL,CHN,28
FIN,CHN,25
FRA,CHN,124
BGD,CHN,81
IND,CHN,128
AUS,CHN,219
USA,CHN,1015
NLD,CHN,86
IDN,CHN,30
BRA,CHN,31
SCG,CHN,140
PER,COL,103
CHL,COL,64
ITA,COL,22
CAN,COL,30
VEN,COL,89
MEX,COL,165
USA,COL,192
ARG,COL,97
FRA,COL,39
ECU,COL,74
NLD,COL,22
GBR,COL,59
