source_ISO,target_ISO,value
AFG,USA,32
AFG,IND,38
AGO,PRT,44
AGO,BRA,159
ALB,ITA,33
ALB,USA,35
ALB,XKS,22
ANZ,IDN,267
ANZ,RUS,135
ANZ,GBR,27
ANZ,TUR,51
ANZ,DEU,22
ANZ,CHN,36
ANZ,CAN,357
ANZ,AZE,463
ANZ,USA,121
ANZ,UZB,45
ARE,DEU,40
ARE,IDN,34
ARE,CAN,170
ARE,ITA,32
ARE,JOR,77
ARE,SAU,109
ARE,IND,709
ARE,PAK,186
ARE,FRA,76
ARE,AUS,87
ARE,CHN,90
ARE,IRN,39
ARE,IRQ,55
ARE,NLD,36
ARE,USA,712
ARE,EGY,209
ARE,QAT,42
ARE,GBR,250
ARE,MYS,63
ARG,CHL,528
ARG,USA,1493
ARG,DEU,281
ARG,ITA,658
ARG,ESP,1672
ARG,CHN,54
ARG,CZE,28
ARG,FRA,359
ARG,AUS,84
ARG,TWN,37
ARG,PRT,113
ARG,VEN,94
ARG,MEX,661
ARG,IDN,78
ARG,PAN,34
ARG,BEL,50
ARG,CAN,124
ARG,PHL,42
ARG,JPN,30
ARG,SWE,45
ARG,COL,570
ARG,ECU,301
ARG,NLD,61
ARG,CRI,116
ARG,CUB,138
ARG,BOL,52
ARG,DNK,34
ARG,BRA,978
ARG,BOH,52
ARG,PER,357
ARG,PRY,86
ARG,DOM,31
ARG,GBR,222
ARG,CHE,98
ARG,URY,178
ARG,ISR,31
ARG,IND,38
ARG,AUT,39
ARM,DEU,31
ARM,ITA,44
ARM,RUS,111
ARM,CHN,38
ARM,USA,137
ARM,IND,40
ATG,TUR,92
ATG,USA,40
AUS,JPN,504
AUS,CHE,445
AUS,NOR,167
AUS,MEX,84
AUS,PNG,31
AUS,PHL,78
AUS,ECU,40
AUS,DEU,1225
AUS,GBR,6739
AUS,IDN,577
AUS,ZAF,201
AUS,NLD,605
AUS,ISR,123
AUS,IRN,329
AUS,LBN,22
AUS,GHA,54
AUS,ARG,67
AUS,IND,1472
AUS,VNM,508
AUS,TWN,287
AUS,IRL,647
AUS,PAK,339
AUS,MYS,514
AUS,RUS,189
AUS,FIN,105
AUS,BEL,175
AUS,GRC,75
AUS,CZE,66
AUS,MMR,26
AUS,KWT,26
AUS,USA,13040
AUS,SCG,562
AUS,SGP,562
AUS,POL,92
AUS,LKA,209
AUS,IRQ,133
AUS,BGD,329
AUS,SWE,296
AUS,BRA,326
AUS,NGA,76
AUS,DNK,247
AUS,EGY,125
AUS,NPL,108
AUS,ARE,106
