source_ISO,target_ISO,year,value
USA,CHN,2023,924
USA,CHN,2021,540
USA,CHN,2019,525
USA,CHN,2018,513
USA,CHN,2020,471
USA,CHN,2022,470
USA,CHN,2017,463
USA,CHN,2016,448
USA,CHN,2015,420
GBR,CHN,2023,139
CAN,CHN,2023,102
GBR,CHN,2022,100
GBR,CHN,2019,91
GBR,CHN,2021,87
JPN,CHN,2023,84
GBR,CHN,2018,80
GBR,CHN,2020,80
GBR,CHN,2017,71
FRA,CHN,2023,69
GBR,CHN,2015,68
GBR,CHN,2016,66
AUS,CHN,2023,64
SGP,CHN,2023,63
FRA,CHN,2022,62
CAN,CHN,2018,60
AUS,CHN,2017,60
CAN,CHN,2019,58
DEU,CHN,2023,58
AUS,CHN,2019,54
CAN,CHN,2021,54
SGP,CHN,2019,52
JPN,CHN,2021,49
AUS,CHN,2018,49
AUS,CHN,2021,49
SGP,CHN,2021,47
AUS,CHN,2015,46
CAN,CHN,2017,46
SGP,CHN,2020,46
KOR,CHN,2023,45
FRA,CHN,2019,44
JPN,CHN,2022,44
DEU,CHN,2020,44
JPN,CHN,2017,44
CAN,CHN,2022,44
DEU,CHN,2022,44
CAN,CHN,2020,43
JPN,CHN,2020,42
FRA,CHN,2020,41
DEU,CHN,2021,40
FRA,CHN,2021,40
AUS,CHN,2016,39
CAN,CHN,2015,39
DEU,CHN,2019,39
JPN,CHN,2019,38
SGP,CHN,2017,38
IND,CHN,2020,37
AUS,CHN,2020,36
SGP,CHN,2022,36
JPN,CHN,2018,36
DEU,CHN,2018,35
KOR,CHN,2020,35
SGP,CHN,2018,34
FRA,CHN,2017,31
JPN,CHN,2015,29
JPN,CHN,2016,29
DEU,CHN,2016,28
AUS,CHN,2022,28
DEU,CHN,2017,28
FRA,CHN,2016,28
IND,CHN,2018,28
KOR,CHN,2022,27
KOR,CHN,2015,27
KOR,CHN,2017,27
SGP,CHN,2016,27
KOR,CHN,2019,26
FRA,CHN,2018,26
FRA,CHN,2015,26
CAN,CHN,2016,25
NLD,CHN,2023,25
SGP,CHN,2015,23
KOR,CHN,2018,23
PAK,CHN,2021,22
KOR,CHN,2021,21
NLD,CHN,2022,20
KOR,CHN,2016,20
IND,CHN,2019,19
IND,CHN,2023,19
IND,CHN,2016,18
CHE,CHN,2020,18
PAK,CHN,2018,17
PAK,CHN,2022,17
RUS,CHN,2023,17
IND,CHN,2021,16
BEL,CHN,2023,16
PAK,CHN,2020,15
MYS,CHN,2023,15
PAK,CHN,2023,14
IND,CHN,2022,14
DEU,CHN,2015,14
NLD,CHN,2017,13
NLD,CHN,2018,13
SWE,CHN,2023,13
PAK,CHN,2017,13
DNK,CHN,2023,13
IND,CHN,2017,13
SWE,CHN,2018,13
ITA,CHN,2021,13
PAK,CHN,2016,12
CZE,CHN,2021,11
SWE,CHN,2022,11
SWE,CHN,2021,11
ITA,CHN,2019,11
MYS,CHN,2019,11
NLD,CHN,2019,11
NLD,CHN,2021,11
PAK,CHN,2015,10
NZL,CHN,2019,10
PAK,CHN,2019,10
RUS,CHN,2020,9
NOR,CHN,2020,9
ESP,CHN,2023,9
MYS,CHN,2018,9
BGD,CHN,2020,9
BGD,CHN,2023,9
BGD,CHN,2017,9
MYS,CHN,2021,9
