source_ISO,target_ISO,year,value
USA,CHN,2023,924
GBR,CHN,2023,139
CAN,CHN,2023,102
JPN,CHN,2023,84
FRA,CHN,2023,69
AUS,CHN,2023,64
SGP,CHN,2023,63
DEU,CHN,2023,58
KOR,CHN,2023,45
NLD,CHN,2023,25
IND,CHN,2023,19
RUS,CHN,2023,17
BEL,CHN,2023,16
MYS,CHN,2023,15
PAK,CHN,2023,14
SWE,CHN,2023,13
DNK,CHN,2023,13
ESP,CHN,2023,9
BGD,CHN,2023,9
IRN,CHN,2023,9
CHE,CHN,2023,8
ITA,CHN,2023,7
GRC,CHN,2023,7
AUT,CHN,2023,7
NZL,CHN,2023,6
CZE,CHN,2023,6
SAU,CHN,2023,5
FIN,CHN,2023,5
VNM,CHN,2023,5
THA,CHN,2023,5
IRL,CHN,2023,4
LBN,CHN,2023,4
NOR,CHN,2023,4
MEX,CHN,2023,3
TUR,CHN,2023,3
NGA,CHN,2023,3
PRT,CHN,2023,3
ISR,CHN,2023,3
YEM,CHN,2023,2
KAZ,CHN,2023,2
NPL,CHN,2023,2
HRV,CHN,2023,2
BLR,CHN,2023,2
BRN,CHN,2023,2
BRA,CHN,2023,2
BGR,CHN,2023,2
ARE,CHN,2023,2
BWA,CHN,2023,2
CYP,CHN,2023,1
TUN,CHN,2023,1
CUB,CHN,2023,1
SVK,CHN,2023,1
ETH,CHN,2023,1
SDN,CHN,2023,1
ROU,CHN,2023,1
TJK,CHN,2023,1
CHL,CHN,2023,1
ZAF,CHN,2023,1
LKA,CHN,2023,1
CYM,CHN,2023,1
MOZ,CHN,2023,1
MWI,CHN,2023,1
PHL,CHN,2023,1
HUN,CHN,2023,1
IDN,CHN,2023,1
SRB,CHN,2023,1
QAT,CHN,2023,1
KHM,CHN,2023,1
JAM,CHN,2023,1
KGZ,CHN,2023,1
LUX,CHN,2023,1
MKD,CHN,2023,1
POL,CHN,2023,1
FJI,CHN,2023,1
CHN,USA,2023,512
CHN,GBR,2023,114
CHN,AUS,2023,77
CHN,SGP,2023,61
CHN,DEU,2023,60
CHN,KOR,2023,56
CHN,JPN,2023,48
CHN,CAN,2023,46
CHN,FRA,2023,25
CHN,NLD,2023,24
CHN,MYS,2023,23
CHN,IND,2023,20
CHN,PAK,2023,17
CHN,ITA,2023,15
CHN,DNK,2023,14
CHN,SWE,2023,12
CHN,CHE,2023,11
CHN,THA,2023,10
CHN,ESP,2023,9
CHN,BRA,2023,8
CHN,IRL,2023,7
CHN,VNM,2023,6
CHN,UKR,2023,6
CHN,NOR,2023,5
CHN,NZL,2023,5
CHN,RUS,2023,5
CHN,BEL,2023,5
CHN,POL,2023,4
CHN,MNG,2023,4
CHN,FIN,2023,4
CHN,ZAF,2023,3
CHN,TUR,2023,3
CHN,ISR,2023,3
CHN,ARM,2023,3
CHN,YEM,2023,2
CHN,BGD,2023,2
CHN,KEN,2023,2
CHN,PRT,2023,2
CHN,MOZ,2023,2
CHN,MEX,2023,2
CHN,IRN,2023,2
CHN,BRN,2023,2
CHN,IDN,2023,2
CHN,CYP,2023,2
CHN,HUN,2023,2
CHN,SAU,2023,2
CHN,ARE,2023,1
CHN,BWA,2023,1
CHN,NPL,2023,1
CHN,MMR,2023,1
CHN,MWI,2023,1
CHN,PNG,2023,1
CHN,PHL,2023,1
CHN,KWT,2023,1
CHN,CYM,2023,1
CHN,GHA,2023,1
CHN,RWA,2023,1
CHN,EGY,2023,1
CHN,CHL,2023,1
CHN,BMU,2023,1
CHN,AZE,2023,1
