,year,source_ISO,target_ISO,category,value,data,start,end
549,2018,PER,SWE,C1,1,fintech_talent,"[-76.0, -10.0]","[15.0, 62.0]"
550,2018,MUS,GBR,C1,2,fintech_talent,"[57.55, -20.2833]","[-2.0, 54.0]"
551,2018,AUT,SVN,C1,2,fintech_talent,"[13.3333, 47.3333]","[15.0, 46.0]"
552,2018,GBR,USA,C1,24,fintech_talent,"[-2.0, 54.0]","[-97.0, 38.0]"
553,2018,FRA,HKG,C1,1,fintech_talent,"[2.0, 46.0]","[114.1667, 22.25]"
554,2018,DEU,NLD,C1,4,fintech_talent,"[9.0, 51.0]","[5.75, 52.5]"
555,2018,GBR,ESP,C1,3,fintech_talent,"[-2.0, 54.0]","[-4.0, 40.0]"
556,2018,GRC,NLD,C1,2,fintech_talent,"[22.0, 39.0]","[5.75, 52.5]"
557,2018,CAN,USA,C1,12,fintech_talent,"[-95.0, 60.0]","[-97.0, 38.0]"
558,2018,LVA,ZAF,C2,1,fintech_talent,"[25.0, 57.0]","[24.0, -29.0]"
559,2018,BGD,CAN,C2,1,fintech_talent,"[90.0, 24.0]","[-95.0, 60.0]"
560,2018,ARE,IRL,C2,1,fintech_talent,"[54.0, 24.0]","[-8.0, 53.0]"
561,2018,ITA,DEU,C2,1,fintech_talent,"[12.8333, 42.8333]","[9.0, 51.0]"
562,2018,IND,NCL,C2,1,fintech_talent,"[77.0, 20.0]","[165.5, -21.5]"
563,2018,GRC,MLT,C2,1,fintech_talent,"[22.0, 39.0]","[14.5833, 35.8333]"
564,2018,SWE,CHN,C2,4,fintech_talent,"[15.0, 62.0]","[105.0, 35.0]"
565,2018,ESP,MEX,C2,1,fintech_talent,"[-4.0, 40.0]","[-102.0, 23.0]"
566,2018,CZE,ESP,C2,1,fintech_talent,"[15.5, 49.75]","[-4.0, 40.0]"
567,2018,BRA,ESP,C2,1,fintech_talent,"[-55.0, -10.0]","[-4.0, 40.0]"
568,2018,BHR,IND,C2,1,fintech_talent,"[50.55, 26.0]","[77.0, 20.0]"
569,2018,JPN,BRA,C3,1,fintech_talent,"[138.0, 36.0]","[-55.0, -10.0]"
570,2018,CHE,CAN,C3,5,fintech_talent,"[8.0, 47.0]","[-95.0, 60.0]"
571,2018,IND,NLD,C3,3,fintech_talent,"[77.0, 20.0]","[5.75, 52.5]"
572,2018,CAN,DNK,C3,4,fintech_talent,"[-95.0, 60.0]","[10.0, 56.0]"
573,2018,ROU,PAK,C3,2,fintech_talent,"[25.0, 46.0]","[70.0, 30.0]"
574,2018,DNK,GBR,C3,5,fintech_talent,"[10.0, 56.0]","[-2.0, 54.0]"
575,2018,USA,MDV,C3,7,fintech_talent,"[-97.0, 38.0]","[73.0, 3.25]"
576,2018,THA,USA,C3,10,fintech_talent,"[100.0, 15.0]","[-97.0, 38.0]"
577,2018,PAK,SWE,C3,1,fintech_talent,"[70.0, 30.0]","[15.0, 62.0]"
578,2018,IND,GBR,C3,10,fintech_talent,"[77.0, 20.0]","[-2.0, 54.0]"
579,2018,IRL,CAN,C3,5,fintech_talent,"[-8.0, 53.0]","[-95.0, 60.0]"
580,2018,AUS,CHN,C3,42,fintech_talent,"[133.0, -27.0]","[105.0, 35.0]"
581,2018,DNK,SWE,C3,3,fintech_talent,"[10.0, 56.0]","[15.0, 62.0]"
582,2018,MEX,CHL,C3,1,fintech_talent,"[-102.0, 23.0]","[-71.0, -30.0]"
583,2018,NOR,ETH,C3,1,fintech_talent,"[10.0, 62.0]","[38.0, 8.0]"
584,2018,AUT,CAN,C3,3,fintech_talent,"[13.3333, 47.3333]","[-95.0, 60.0]"
585,2018,BDI,GBR,C3,1,fintech_talent,"[30.0, -3.5]","[-2.0, 54.0]"
586,2018,CHE,KOR,C3,2,fintech_talent,"[8.0, 47.0]","[127.5, 37.0]"
587,2018,AUS,CZE,C3,1,fintech_talent,"[133.0, -27.0]","[15.5, 49.75]"
588,2018,USA,FRA,C3,22,fintech_talent,"[-97.0, 38.0]","[2.0, 46.0]"
589,2018,AUS,BGD,C3,2,fintech_talent,"[133.0, -27.0]","[90.0, 24.0]"
590,2018,TTO,FRA,C3,1,fintech_talent,"[-61.0, 11.0]","[2.0, 46.0]"
591,2018,GBR,POL,C3,3,fintech_talent,"[-2.0, 54.0]","[20.0, 52.0]"
592,2018,NLD,BRN,C3,1,fintech_talent,"[5.75, 52.5]","[114.6667, 4.5]"
593,2018,MNE,HKG,all,1,fintech_talent,"[19.0, 42.0]","[114.1667, 22.25]"
594,2018,BHR,GHA,all,2,fintech_talent,"[50.55, 26.0]","[-2.0, 8.0]"
595,2018,NZL,SLB,all,1,fintech_talent,"[174.0, -41.0]","[159.0, -8.0]"
596,2018,PRT,ITA,all,1,fintech_talent,"[-8.0, 39.5]","[12.8333, 42.8333]"
597,2018,CAN,LBN,all,2,fintech_talent,"[-95.0, 60.0]","[35.8333, 33.8333]"
598,2018,GBR,CMR,all,1,fintech_talent,"[-2.0, 54.0]","[12.0, 6.0]"
599,2018,THA,BRN,all,1,fintech_talent,"[100.0, 15.0]","[114.6667, 4.5]"
600,2018,FIN,PER,all,2,fintech_talent,"[26.0, 64.0]","[-76.0, -10.0]"
601,2018,ITA,ZAF,all,1,fintech_talent,"[12.8333, 42.8333]","[24.0, -29.0]"
602,2018,CHE,LKA,all,1,fintech_talent,"[8.0, 47.0]","[81.0, 7.0]"
603,2018,DEU,CHN,all,9,fintech_talent,"[9.0, 51.0]","[105.0, 35.0]"
604,2018,RUS,CHN,all,3,fintech_talent,"[100.0, 60.0]","[105.0, 35.0]"
605,2018,BRN,CHN,all,23,fintech_talent,"[114.6667, 4.5]","[105.0, 35.0]"
606,2018,GBR,FIN,all,7,fintech_talent,"[-2.0, 54.0]","[26.0, 64.0]"
